음식점 이름,메뉴 이름,메뉴 가격,에너지,탄수화물,단백질,지방
명작,꽃게된장찌개,6000, , , , 
명작,얼큰이라면,4000, , , , 
곰에스프레소 본점,에스프레소 (솔로/도피오),4000, , , , 
곰에스프레소 본점,에스프레소 (마키아토/콘파나),4500, , , , 
곰에스프레소 본점,아메리카노 (hot),4500, , , , 
곰에스프레소 본점,카페라떼 (hot),5000, , , , 
곰에스프레소 본점,요거트스무디,6500, , , , 
곰에스프레소 본점,카푸치노,5000, , , , 
만년닭강정 본점,순살닭강정 (600g),10000, , , , 
만년닭강정 본점,뼈닭강정,18000, , , , 
만년닭강정 본점,순살후라이드 (600g),9000, , , , 
만년닭강정 본점,뼈후라이드,17000, , , , 
소담촌 유성점,월남쌈샤브정식 점심특선,14900, , , , 
소담촌 유성점,월남쌈버섯샤브정식 점심특선,16500, , , , 
소담촌 유성점,월남쌈샤브정식,16900, , , , 
소담촌 유성점,월남쌈 버섯샤브 정식,21900, , , , 
소담촌 유성점,스폐셜 샤브정식,26000, , , , 
소담촌 유성점,명품한우샤브정식,24500, , , , 
유성복집,복튀김 (10조각~14조각),0, , , , 
유성복집,복 수육 ( 한 접시 ) ( 2~3인분),0, , , , 
유성복집,해장복 (맑은탕/매운탕) 뚝배기/냄비 (1인분),13000, , , , 
유성복집,밀복 (맑은탕/매운탕) 뚝배기/냄비 (1인분),18000, , , , 
유성복집,까치복 (맑은탕/매운탕) 뚝배기/냄비 (1인분),20000, , , , 
유성복집,살아있는 활참복 (맑은탕/매운탕) 뚝배기/냄비 (1인분),45000, , , , 
하루팡,메론빵,2000, , , , 
아즈테킬라,타코 새우(3pcs),13900, , , , 
아즈테킬라,부리또 새우(2pcs),13900, , , , 
아즈테킬라,띵가밥,10900, , , , 
아즈테킬라,화이타 새우,21900, , , , 
아즈테킬라,타코 플레이트,39900, , , , 
아즈테킬라,구아까몰레 & 칩 샐러드,12000, , , , 
마장동김씨 봉명점,마장동 모듬(소),45000, , , , 
마장동김씨 봉명점,마장동 모듬(중),64000, , , , 
마장동김씨 봉명점,마장동 모듬(대),82000, , , , 
마장동김씨 봉명점,통삼겹살,15000, , , , 
마장동김씨 봉명점,천겹살,17000, , , , 
마장동김씨 봉명점,눈꽃목살,15000, , , , 
